Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2010,16,5,10.5,-13.9,54,0,T,T,2
1/2/2010,11,2,6.5,-17.8,58,0,0,0,2
1/3/2010,18,-1,8.5,-15.7,56,0,T,T,2
1/4/2010,18,7,12.5,-11.6,52,0,T,T,2
1/5/2010,23,13,18,-6,47,0,T,T,2
1/6/2010,20,10,15,-8.9,50,0,0.01,0.1,2
1/7/2010,22,16,19,-4.9,46,0,0.27,3.9,3
1/8/2010,27,11,19,-4.8,46,0,0.27,3.5,8
1/9/2010,22,6,14,-9.7,51,0,0,0,7
1/10/2010,18,0,9,-14.7,56,0,T,T,6
1/11/2010,26,15,20.5,-3.1,44,0,T,T,6
1/12/2010,31,20,25.5,1.9,39,0,T,T,5
1/13/2010,35,19,27,3.5,38,0,0,0,5
1/14/2010,40,31,35.5,12,29,0,0,0,5
1/15/2010,34,25,29.5,6,35,0,T,T,2
1/16/2010,27,23,25,1.5,40,0,0,0,2
1/17/2010,29,19,24,0.6,41,0,T,T,2
1/18/2010,31,27,29,5.6,36,0,T,T,2
1/19/2010,38,27,32.5,9.1,32,0,0,0,2
1/20/2010,33,24,28.5,5.1,36,0,0.01,T,2
1/21/2010,35,30,32.5,9,32,0,0.08,0,2
1/22/2010,35,33,34,10.5,31,0,T,0,2
1/23/2010,44,34,39,15.5,26,0,T,0,1
1/24/2010,46,30,38,14.4,27,0,0.49,0,0
1/25/2010,32,19,25.5,1.9,39,0,T,0.5,0
1/26/2010,24,12,18,-5.7,47,0,T,0.2,0
1/27/2010,23,9,16,-7.8,49,0,T,0.9,1
1/28/2010,17,6,11.5,-12.4,53,0,0,0,1
1/29/2010,21,5,13,-11,52,0,T,T,1
1/30/2010,25,18,21.5,-2.6,43,0,T,T,1
1/31/2010,29,15,22,-2.2,43,0,0,0,1
2/1/2010,30,14,22,-2.3,43,0,T,T,0
2/2/2010,32,25,28.5,4,36,0,0.1,2.1,1
2/3/2010,32,23,27.5,2.8,37,0,0,0,1
2/4/2010,33,21,27,2.2,38,0,0,0,1
2/5/2010,35,30,32.5,7.5,32,0,0.02,0.2,1
2/6/2010,31,25,28,2.8,37,0,T,T,0
2/7/2010,31,23,27,1.6,38,0,T,T,0
2/8/2010,30,20,25,-0.7,40,0,T,T,0
2/9/2010,28,23,25.5,-0.4,39,0,0.65,12.6,1
2/10/2010,26,17,21.5,-4.7,43,0,0.02,0.3,9
2/11/2010,30,10,20,-6.4,45,0,0,0,7
2/12/2010,32,10,21,-5.7,44,0,0,0,6
2/13/2010,30,11,20.5,-6.5,44,0,0,0,5
2/14/2010,29,9,19,-8.3,46,0,0,0,5
2/15/2010,28,6,17,-10.6,48,0,T,0.3,4
2/16/2010,32,25,28.5,0.6,36,0,T,T,5
2/17/2010,32,26,29,0.8,36,0,0,0,4
2/18/2010,39,25,32,3.5,33,0,0,0,3
2/19/2010,42,19,30.5,1.7,34,0,0,0,2
2/20/2010,39,30,34.5,5.3,30,0,0.01,0.2,2
2/21/2010,36,33,34.5,5,30,0,0.36,2,2
2/22/2010,33,29,31,1.1,34,0,0.14,1.1,4
2/23/2010,33,22,27.5,-2.7,37,0,T,T,3
2/24/2010,29,21,25,-5.6,40,0,0.34,3.6,3
2/25/2010,28,18,23,-8,42,0,T,T,5
2/26/2010,31,17,24,-7.3,41,0,T,T,5
2/27/2010,34,28,31,-0.7,34,0,T,0.1,4
2/28/2010,38,32,35,2.9,30,0,T,T,4
3/1/2010,36,27,31.5,-0.9,33,0,0,0,3
3/2/2010,33,23,28,-4.8,37,0,0,0,3
3/3/2010,39,24,31.5,-1.7,33,0,0,0,3
3/4/2010,42,22,32,-1.6,33,0,0,0,2
3/5/2010,38,23,30.5,-3.4,34,0,0,0,1
3/6/2010,45,20,32.5,-1.8,32,0,0,0,0
3/7/2010,46,26,36,1.3,29,0,0.03,0,0
3/8/2010,44,33,38.5,3.4,26,0,0,0,0
3/9/2010,51,32,41.5,6.1,23,0,0.01,0,0
3/10/2010,62,46,54,18.2,11,0,0.07,0,0
3/11/2010,60,44,52,15.8,13,0,0.34,0,0
3/12/2010,55,40,47.5,11,17,0,0.01,0,0
3/13/2010,45,41,43,6.1,22,0,0.61,0,0
3/14/2010,50,40,45,7.8,20,0,T,0,0
3/15/2010,48,39,43.5,5.9,21,0,0,0,0
3/16/2010,61,35,48,10.1,17,0,0,0,0
3/17/2010,63,32,47.5,9.2,17,0,0,0,0
3/18/2010,61,41,51,12.3,14,0,0,0,0
3/19/2010,65,39,52,13,13,0,0,0,0
3/20/2010,39,31,35,-4.4,30,0,0.42,1.8,0
3/21/2010,42,33,37.5,-2.2,27,0,0.02,T,0
3/22/2010,49,34,41.5,1.4,23,0,0,0,0
3/23/2010,59,28,43.5,3.1,21,0,0,0,0
3/24/2010,53,35,44,3.2,21,0,0,0,0
3/25/2010,47,29,38,-3.1,27,0,0.03,0,0
3/26/2010,41,27,34,-7.5,31,0,0,0,0
3/27/2010,50,31,40.5,-1.3,24,0,0.01,0,0
3/28/2010,52,37,44.5,2.3,20,0,0,0,0
3/29/2010,46,30,38,-4.5,27,0,0,0,0
3/30/2010,64,29,46.5,3.6,18,0,0,0,0
4/1/2010,83,54,68.5,24.9,0,4,0,0,0
4/2/2010,81,59,70,26.1,0,5,0,0,0
4/3/2010,59,49,54,9.7,11,0,0.18,0,0
4/4/2010,76,39,57.5,12.8,7,0,0.8,0,0
4/5/2010,72,50,61,16,4,0,0.82,0,0
4/6/2010,76,47,61.5,16.1,3,0,0.37,0,0
4/7/2010,49,37,43,-2.8,22,0,0.13,0,0
4/8/2010,40,34,37,-9.1,28,0,T,T,0
4/9/2010,56,30,43,-3.5,22,0,0,0,0
4/10/2010,74,38,56,9.1,9,0,0,0,0
4/11/2010,63,44,53.5,6.3,11,0,0,0,0
4/12/2010,70,44,57,9.4,8,0,0.01,0,0
4/13/2010,63,48,55.5,7.5,9,0,0,0,0
4/14/2010,80,46,63,14.6,2,0,0,0,0
4/15/2010,82,61,71.5,22.8,0,7,0,0,0
4/16/2010,68,39,53.5,4.4,11,0,0,0,0
4/17/2010,59,37,48,-1.5,17,0,0,0,0
4/18/2010,52,36,44,-5.9,21,0,0,0,0
4/19/2010,56,35,45.5,-4.7,19,0,0,0,0
4/20/2010,64,38,51,0.4,14,0,0,0,0
4/21/2010,62,41,51.5,0.5,13,0,T,0,0
4/22/2010,60,38,49,-2.3,16,0,0,0,0
4/23/2010,63,41,52,0.3,13,0,0.07,0,0
4/24/2010,60,51,55.5,3.5,9,0,0.26,0,0
4/25/2010,60,47,53.5,1.1,11,0,0.31,0,0
4/26/2010,63,47,55,2.2,10,0,0,0,0
4/27/2010,51,37,44,-9.1,21,0,0,0,0
4/28/2010,64,33,48.5,-5,16,0,0,0,0
4/29/2010,79,46,62.5,8.7,2,0,0,0,0
4/30/2010,81,62,71.5,17.4,0,7,0.06,0,0
5/1/2010,70,58,64,9.5,1,0,0.11,0,0
5/2/2010,69,53,61,6.2,4,0,0.93,0,0
5/3/2010,72,50,61,5.9,4,0,0,0,0
5/4/2010,79,50,64.5,9,0,0,0,0,0
5/5/2010,72,56,64,8.2,1,0,T,0,0
5/6/2010,63,46,54.5,-1.6,10,0,0.01,0,0
5/7/2010,59,45,52,-4.4,13,0,0.72,0,0
5/8/2010,50,42,46,-10.7,19,0,0.02,0,0
5/9/2010,58,38,48,-9,17,0,0,0,0
5/10/2010,58,41,49.5,-7.8,15,0,T,0,0
5/11/2010,52,44,48,-9.7,17,0,0.97,0,0
5/12/2010,51,44,47.5,-10.5,17,0,0.12,0,0
5/13/2010,73,48,60.5,2.2,4,0,1.49,0,0
5/14/2010,66,47,56.5,-2.1,8,0,0,0,0
5/15/2010,61,43,52,-6.9,13,0,0,0,0
5/16/2010,66,41,53.5,-5.7,11,0,0,0,0
5/17/2010,58,50,54,-5.4,11,0,0.01,0,0
5/18/2010,65,46,55.5,-4.2,9,0,0,0,0
5/19/2010,74,44,59,-1,6,0,0,0,0
5/20/2010,74,47,60.5,0.2,4,0,0.05,0,0
5/21/2010,73,56,64.5,3.9,0,0,0.21,0,0
5/22/2010,74,58,66,5,0,1,0,0,0
5/23/2010,89,62,75.5,14.2,0,11,0,0,0
5/24/2010,91,70,80.5,18.9,0,16,0,0,0
5/25/2010,88,69,78.5,16.6,0,14,0,0,0
5/26/2010,87,66,76.5,14.3,0,12,T,0,0
5/27/2010,77,61,69,6.5,0,4,0,0,0
5/28/2010,79,57,68,5.2,0,3,0,0,0
5/29/2010,86,59,72.5,9.3,0,8,0,0,0
5/30/2010,91,61,76,12.5,0,11,0,0,0
5/31/2010,81,66,73.5,9.7,0,9,0.26,0,0
6/1/2010,85,63,74,9.9,0,9,0,0,0
6/2/2010,77,57,67,2.5,0,2,1.02,0,0
6/3/2010,71,56,63.5,-1.3,1,0,0,0,0
6/4/2010,83,57,70,4.8,0,5,0,0,0
6/5/2010,79,60,69.5,4,0,5,0.15,0,0
6/6/2010,76,55,65.5,-0.3,0,1,T,0,0
6/7/2010,70,54,62,-4.2,3,0,0,0,0
6/8/2010,67,58,62.5,-4,2,0,0.45,0,0
6/9/2010,83,65,74,7.1,0,9,0,0,0
6/10/2010,77,58,67.5,0.3,0,3,0,0,0
6/11/2010,89,64,76.5,8.9,0,12,0.02,0,0
6/12/2010,77,62,69.5,1.6,0,5,0.34,0,0
6/13/2010,71,62,66.5,-1.8,0,2,0.25,0,0
6/14/2010,70,60,65,-3.6,0,0,T,0,0
6/15/2010,79,60,69.5,0.6,0,5,0.59,0,0
6/16/2010,82,63,72.5,3.2,0,8,0,0,0
6/17/2010,84,64,74,4.4,0,9,0,0,0
6/18/2010,90,67,78.5,8.6,0,14,0.87,0,0
6/19/2010,85,66,75.5,5.3,0,11,0,0,0
6/20/2010,81,64,72.5,2,0,8,T,0,0
6/21/2010,85,67,76,5.2,0,11,0.22,0,0
6/22/2010,85,69,77,5.9,0,12,0,0,0
