Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2010,50,27,38.5,-6.9,26,0,0,0,0
1/2/2010,53,28,40.5,-4.9,24,0,0,0,0
1/3/2010,47,30,38.5,-6.9,26,0,0,0,0
1/4/2010,39,26,32.5,-12.9,32,0,0,0,0
1/5/2010,41,22,31.5,-13.9,33,0,0,0,0
1/6/2010,50,27,38.5,-6.9,26,0,0.01,0,0
1/7/2010,46,22,34,-11.4,31,0,0.05,T,T
1/8/2010,30,16,23,-22.5,42,0,0,0,0
1/9/2010,36,13,24.5,-21,40,0,0,0,0
1/10/2010,44,17,30.5,-15,34,0,0,0,0
1/11/2010,55,23,39,-6.6,26,0,0,0,0
1/12/2010,57,28,42.5,-3.1,22,0,0,0,0
1/13/2010,62,33,47.5,1.9,17,0,0,0,0
1/14/2010,55,50,52.5,6.8,12,0,0.03,0,0
1/15/2010,58,46,52,6.3,13,0,0.15,0,0
1/16/2010,61,46,53.5,7.7,11,0,T,0,0
1/17/2010,65,41,53,7.2,12,0,0,0,0
1/18/2010,70,40,55,9.1,10,0,0,0,0
1/19/2010,70,53,61.5,15.5,3,0,0.02,0,0
1/20/2010,69,55,62,16,3,0,T,0,0
1/21/2010,66,48,57,10.9,8,0,0,0,0
1/22/2010,76,45,60.5,14.3,4,0,0,0,0
1/23/2010,63,51,57,10.7,8,0,0.11,0,0
1/24/2010,58,42,50,3.6,15,0,0,0,0
1/25/2010,58,33,45.5,-1,19,0,0,0,0
1/26/2010,59,34,46.5,-0.1,18,0,0,0,0
1/27/2010,67,44,55.5,8.8,9,0,T,0,0
1/28/2010,58,44,51,4.2,14,0,1.73,0,0
1/29/2010,44,30,37,-9.9,28,0,0.66,T,0
1/30/2010,31,26,28.5,-18.5,36,0,0,0,0
1/31/2010,37,29,33,-14.1,32,0,0,0,0
2/1/2010,46,29,37.5,-9.8,27,0,0,0,0
2/2/2010,51,38,44.5,-2.9,20,0,0,0,0
2/3/2010,47,35,41,-6.6,24,0,0.14,0,0
2/4/2010,44,41,42.5,-5.2,22,0,0.23,0,0
2/5/2010,59,39,49,1.1,16,0,0,0,0
2/6/2010,43,35,39,-9,26,0,0,0,0
2/7/2010,44,36,40,-8.2,25,0,0.05,0,0
2/8/2010,42,38,40,-8.4,25,0,1.06,0,0
2/9/2010,43,26,34.5,-14.1,30,0,0,0,0
2/10/2010,39,29,34,-14.8,31,0,0,0,0
2/11/2010,38,32,35,-14,30,0,1.08,11.2,1
2/12/2010,36,29,32.5,-16.7,32,0,0.06,1.3,11
2/13/2010,44,32,38,-11.4,27,0,0,0,5
2/14/2010,41,29,35,-14.6,30,0,0,0,1
2/15/2010,46,29,37.5,-12.3,27,0,0,0,T
2/16/2010,50,27,38.5,-11.6,26,0,0,0,0
2/17/2010,54,27,40.5,-9.8,24,0,0,0,0
2/18/2010,62,32,47,-3.5,18,0,0,0,0
2/19/2010,57,42,49.5,-1.3,15,0,0,0,0
2/20/2010,62,52,57,6,8,0,0,0,0
2/21/2010,65,40,52.5,1.2,12,0,0.21,0,0
2/22/2010,40,36,38,-13.5,27,0,0,0,0
2/23/2010,42,32,37,-14.8,28,0,T,0.1,0
2/24/2010,50,29,39.5,-12.6,25,0,0,0,0
2/25/2010,57,33,45,-7.3,20,0,T,0,0
2/26/2010,50,37,43.5,-9.1,21,0,T,0,0
