Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2010,34,27,30.5,3.6,34,0,0,0,0
1/2/2010,33,16,24.5,-2.3,40,0,0.03,0.5,0
1/3/2010,20,13,16.5,-10.1,48,0,0.02,0.5,0
1/4/2010,31,18,24.5,-1.9,40,0,0,0,0
1/5/2010,27,18,22.5,-3.8,42,0,0,0,0
1/6/2010,29,21,25,-1.2,40,0,0,0,0
1/7/2010,37,26,31.5,5.4,33,0,0,0,0
1/8/2010,29,21,25,-1,40,0,0.05,0.7,0
1/9/2010,27,12,19.5,-6.4,45,0,0,0,0
1/10/2010,27,7,17,-8.8,48,0,0,0,0
1/11/2010,34,12,23,-2.8,42,0,0,0,0
1/12/2010,33,16,24.5,-1.2,40,0,0,0,0
1/13/2010,30,12,21,-4.7,44,0,0,0,0
1/14/2010,40,28,34,8.4,31,0,0,0,0
1/15/2010,48,27,37.5,11.9,27,0,0,0,0
1/16/2010,48,26,37,11.4,28,0,0,0,0
1/17/2010,38,23,30.5,4.8,34,0,0.61,0,0
1/18/2010,43,33,38,12.3,27,0,0.17,0,0
1/19/2010,39,33,36,10.3,29,0,0.13,0,0
1/20/2010,41,29,35,9.2,30,0,0,0,0
1/21/2010,44,23,33.5,7.7,31,0,0,0,0
1/22/2010,41,20,30.5,4.6,34,0,0,0,0
1/23/2010,39,19,29,3,36,0,0,0,0
1/24/2010,34,17,25.5,-0.6,39,0,0.04,0,0
1/25/2010,57,33,45,18.8,20,0,1.51,0,0
1/26/2010,45,28,36.5,10.2,28,0,0,0,0
1/27/2010,42,26,34,7.6,31,0,0,0,0
1/28/2010,34,17,25.5,-1,39,0,0.1,4.7,0
1/29/2010,18,8,13,-13.6,52,0,0,0,0
1/30/2010,19,1,10,-16.8,55,0,0,0,0
1/31/2010,28,5,16.5,-10.4,48,0,0,0,0
2/1/2010,34,16,25,-2.1,40,0,0,0,0
2/2/2010,30,16,23,-4.2,42,0,0,0,0
2/3/2010,34,23,28.5,1.1,36,0,0.09,0.8,0
2/4/2010,34,23,28.5,1,36,0,0,0,0
2/5/2010,36,15,25.5,-2.2,39,0,0,0,0
2/6/2010,28,15,21.5,-6.4,43,0,0,0,0
2/7/2010,31,7,19,-9.1,46,0,0,0,0
2/8/2010,32,19,25.5,-2.8,39,0,0,0,0
2/9/2010,40,20,30,1.5,35,0,0,0,0
2/10/2010,35,29,32,3.3,33,0,0.13,1.7,0
2/11/2010,39,24,31.5,2.6,33,0,0,0,0
2/12/2010,36,20,28,-1.1,37,0,0,0,0
2/13/2010,33,17,25,-4.3,40,0,0,0,0
2/14/2010,37,27,32,2.5,33,0,0,0,0
2/15/2010,42,30,36,6.3,29,0,0,0,0
2/16/2010,31,29,30,0.1,35,0,0.54,4.2,0
2/17/2010,35,26,30.5,0.4,34,0,0,0,0
2/18/2010,43,29,36,5.6,29,0,0,0,0
2/19/2010,41,32,36.5,5.9,28,0,0,0,0
2/20/2010,45,35,40,9.2,25,0,0,0,0
2/21/2010,41,27,34,3,31,0,0,0,0
2/22/2010,47,23,35,3.7,30,0,0,0,0
2/23/2010,37,33,35,3.5,30,0,0.34,0.8,0
2/24/2010,37,33,35,3.2,30,0,1.14,2.6,0
2/25/2010,44,35,39.5,7.5,25,0,1.52,0,0
2/26/2010,40,32,36,3.7,29,0,0.14,0.6,0
2/27/2010,38,30,34,1.5,31,0,0.04,0.6,0
2/28/2010,40,31,35.5,2.7,29,0,0.01,0.1,0
3/1/2010,50,35,42.5,9.4,22,0,0,0,0
3/2/2010,50,33,41.5,8.2,23,0,0,0,0
3/3/2010,40,33,36.5,2.9,28,0,0.06,0,0
3/4/2010,47,35,41,7.1,24,0,0,0,0
3/5/2010,49,32,40.5,6.4,24,0,0,0,0
3/6/2010,58,24,41,6.6,24,0,0,0,0
3/7/2010,58,29,43.5,8.8,21,0,0,0,0
3/8/2010,59,32,45.5,10.5,19,0,0,0,0
3/9/2010,57,30,43.5,8.2,21,0,0,0,0
3/10/2010,58,28,43,7.4,22,0,0,0,0
3/11/2010,51,39,45,9.1,20,0,0,0,0
3/12/2010,53,39,46,9.7,19,0,0.01,0,0
3/13/2010,44,37,40.5,3.9,24,0,0.46,0,0
3/14/2010,47,41,44,7.1,21,0,0.54,0,0
3/15/2010,44,40,42,4.8,23,0,0.22,0,0
3/16/2010,62,36,49,11.4,16,0,0,0,0
3/17/2010,67,28,47.5,9.6,17,0,0,0,0
3/18/2010,69,36,52.5,14.2,12,0,0,0,0
3/19/2010,73,34,53.5,14.9,11,0,0,0,0
3/20/2010,74,37,55.5,16.5,9,0,0,0,0
3/21/2010,72,43,57.5,18.1,7,0,0,0,0
3/22/2010,52,43,47.5,7.8,17,0,0.5,0,0
3/23/2010,48,42,45,4.9,20,0,1.07,0,0
3/24/2010,57,40,48.5,8,16,0,0,0,0
3/25/2010,64,36,50,9.1,15,0,0,0,0
