Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2010,70,51,60.5,2.9,4,0,0,0,0
1/2/2010,78,50,64,6.4,1,0,0,0,0
1/3/2010,79,54,66.5,8.9,0,2,0,0,0
1/4/2010,77,56,66.5,8.8,0,2,0,0,0
1/5/2010,78,54,66,8.3,0,1,0,0,0
1/6/2010,76,52,64,6.2,1,0,0,0,0
1/7/2010,74,49,61.5,3.7,3,0,0,0,0
1/8/2010,79,51,65,7.2,0,0,0,0,0
1/9/2010,77,58,67.5,9.6,0,3,0,0,0
1/10/2010,77,54,65.5,7.6,0,1,0,0,0
1/11/2010,81,52,66.5,8.6,0,2,0,0,0
1/12/2010,73,53,63,5,2,0,0,0,0
1/13/2010,66,54,60,2,5,0,0.16,0,0
1/14/2010,74,51,62.5,4.5,2,0,0,0,0
1/15/2010,76,50,63,5,2,0,0,0,0
1/16/2010,71,54,62.5,4.4,2,0,0,0,0
1/17/2010,66,54,60,1.9,5,0,0.31,0,0
1/18/2010,62,56,59,0.9,6,0,1.12,0,0
1/19/2010,58,50,54,-4.1,11,0,0.61,0,0
1/20/2010,59,51,55,-3.1,10,0,1.2,0,0
1/21/2010,58,50,54,-4.1,11,0,0.97,0,0
1/22/2010,53,46,49.5,-8.7,15,0,0.37,M,0
1/23/2010,60,42,51,-7.2,14,0,0,0,0
1/24/2010,64,43,53.5,-4.7,11,0,0,0,0
1/25/2010,67,46,56.5,-1.7,8,0,0,0,0
1/26/2010,61,47,54,-4.2,11,0,0.2,M,0
1/27/2010,69,54,61.5,3.3,3,0,0,0,0
1/28/2010,71,50,60.5,2.3,4,0,0,0,0
1/29/2010,68,50,59,0.7,6,0,0,0,0
1/30/2010,64,48,56,-2.3,9,0,0,0,0
1/31/2010,66,47,56.5,-1.8,8,0,0,0,0
2/1/2010,68,50,59,0.7,6,0,0,0,0
2/2/2010,66,54,60,1.6,5,0,0,0,0
2/3/2010,70,49,59.5,1.1,5,0,0,0,0
2/4/2010,65,55,60,1.6,5,0,0,0,0
2/5/2010,58,54,56,-2.4,9,0,0.94,0,0
2/6/2010,63,51,57,-1.5,8,0,1.91,0,0
