Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2010,34,20,27,-1.9,38,0,0.02,0.4,1
1/2/2010,20,8,14,-14.7,51,0,0.04,0.7,1
1/3/2010,18,6,12,-16.7,53,0,T,T,1
1/4/2010,23,16,19.5,-9.1,45,0,0.06,1.5,1
1/5/2010,24,19,21.5,-7,43,0,0.07,2,2
1/6/2010,26,22,24,-4.4,41,0,0.03,0.6,3
1/7/2010,24,21,22.5,-5.9,42,0,0.19,2.6,2
1/8/2010,23,11,17,-11.3,48,0,0.07,2.7,6
1/9/2010,23,7,15,-13.3,50,0,T,0.4,6
1/10/2010,20,2,11,-17.2,54,0,T,0.5,4
1/11/2010,22,8,15,-13.2,50,0,0.04,0.9,4
1/12/2010,26,10,18,-10.2,47,0,T,0.3,5
1/13/2010,31,17,24,-4.2,41,0,T,T,5
1/14/2010,42,21,31.5,3.4,33,0,0,0,5
1/15/2010,43,37,40,11.9,25,0,0,0,4
1/16/2010,50,33,41.5,13.4,23,0,T,0,2
1/17/2010,40,32,36,7.8,29,0,0.55,0,1
1/18/2010,40,35,37.5,9.3,27,0,0,0,0
1/19/2010,35,31,33,4.8,32,0,T,0,0
1/20/2010,34,25,29.5,1.3,35,0,0,0,0
1/21/2010,42,24,33,4.7,32,0,0.01,0,0
1/22/2010,39,34,36.5,8.2,28,0,0.07,0,0
1/23/2010,50,33,41.5,13.2,23,0,0,0,0
1/24/2010,50,39,44.5,16.1,20,0,0.87,0,0
1/25/2010,51,30,40.5,12.1,24,0,0.6,1.6,0
1/26/2010,31,24,27.5,-1,37,0,0.09,0.9,2
1/27/2010,32,22,27,-1.6,38,0,T,T,1
1/28/2010,32,9,20.5,-8.2,44,0,0.19,2.3,2
1/29/2010,16,4,10,-18.7,55,0,T,T,2
1/30/2010,21,10,15.5,-13.3,49,0,0,0,2
1/31/2010,28,3,15.5,-13.4,49,0,0,0,1
2/1/2010,31,12,21.5,-7.5,43,0,0,0,1
2/2/2010,36,18,27,-2.1,38,0,T,T,0
2/3/2010,36,30,33,3.8,32,0,0.03,0.6,0
2/4/2010,36,27,31.5,2.2,33,0,T,T,0
2/5/2010,36,30,33,3.5,32,0,0.78,11.4,M
2/6/2010,30,10,20,-9.6,45,0,0.78,9.7,19
2/7/2010,24,-1,11.5,-18.2,53,0,T,T,20
2/8/2010,29,2,15.5,-14.4,49,0,0,0,17
2/9/2010,33,10,21.5,-8.5,43,0,0.2,2.7,17
2/10/2010,33,12,22.5,-7.7,42,0,0.34,5.2,20
2/11/2010,26,23,24.5,-5.8,40,0,0.04,0.5,18
2/12/2010,29,21,25,-5.5,40,0,0.04,1.2,17
2/13/2010,27,19,23,-7.6,42,0,0.06,1.8,18
2/14/2010,27,14,20.5,-10.3,44,0,0.02,0.2,17
2/15/2010,29,4,16.5,-14.5,48,0,0.14,2.4,16
2/16/2010,27,20,23.5,-7.7,41,0,0.17,2.9,17
2/17/2010,29,23,26,-5.4,39,0,0.07,1.4,20
2/18/2010,35,29,32,0.4,33,0,T,T,18
2/19/2010,37,25,31,-0.8,34,0,T,T,16
2/20/2010,40,19,29.5,-2.6,35,0,0,0,15
2/21/2010,41,27,34,1.7,31,0,0,0,14
2/22/2010,44,36,40,7.5,25,0,0.09,0,13
2/23/2010,38,31,34.5,1.7,30,0,0.02,T,12
2/24/2010,37,22,29.5,-3.5,35,0,T,T,10
2/25/2010,31,21,26,-7.3,39,0,0.03,1.1,9
2/26/2010,28,22,25,-8.6,40,0,0.3,5.4,10
2/27/2010,34,24,29,-4.8,36,0,0.1,1.8,14
2/28/2010,35,28,31.5,-2.6,33,0,0.01,0.4,14
3/1/2010,38,31,34.5,0.1,30,0,T,T,14
3/2/2010,34,28,31,-3.7,34,0,T,T,12
3/3/2010,38,27,32.5,-2.5,32,0,T,T,12
3/4/2010,39,18,28.5,-6.8,36,0,0,0,11
3/5/2010,40,20,30,-5.6,35,0,0,0,10
3/6/2010,41,18,29.5,-6.4,35,0,0,0,9
3/7/2010,47,21,34,-2.3,31,0,0,0,9
3/8/2010,51,23,37,0.4,28,0,0,0,9
3/9/2010,57,25,41,4.1,24,0,0,0,7
3/10/2010,65,39,52,14.7,13,0,T,0,4
3/11/2010,67,36,51.5,13.9,13,0,0.02,0,1
3/12/2010,61,50,55.5,17.5,9,0,0.24,0,0
3/13/2010,50,40,45,6.7,20,0,0.59,0,0
