Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2015,32,14,23,-1.4,42,0,0,0,0
1/2/2015,34,15,24.5,0.2,40,0,0,0,0
1/3/2015,34,29,31.5,7.3,33,0,0.57,0.4,0
1/4/2015,33,2,17.5,-6.6,47,0,0.13,2.2,1
1/5/2015,6,-3,1.5,-22.5,63,0,0.15,1.8,2
1/6/2015,10,-5,2.5,-21.4,62,0,0.01,0.2,4
1/7/2015,6,-6,0,-23.9,65,0,0,0,3
1/8/2015,18,-8,5,-18.8,60,0,0.06,3,3
1/9/2015,11,0,5.5,-18.2,59,0,T,T,5
1/10/2015,24,-2,11,-12.7,54,0,0,0,4
1/11/2015,32,22,27,3.4,38,0,0.19,2.6,4
1/12/2015,28,15,21.5,-2.1,43,0,T,0.4,6
1/13/2015,19,3,11,-12.5,54,0,T,0.2,6
1/14/2015,19,1,10,-13.5,55,0,T,T,6
1/15/2015,34,17,25.5,2,39,0,0,0,5
1/16/2015,34,23,28.5,5,36,0,0,0,4
1/17/2015,42,26,34,10.6,31,0,0,0,4
1/18/2015,40,27,33.5,10.1,31,0,T,T,0
1/19/2015,41,25,33,9.6,32,0,T,T,0
1/20/2015,36,29,32.5,9.1,32,0,T,0,0
1/21/2015,33,29,31,7.5,34,0,0.01,0.1,0
1/22/2015,31,28,29.5,6,35,0,0,0,0
1/23/2015,31,29,30,6.5,35,0,0,0,0
1/24/2015,43,29,36,12.4,29,0,0,0,0
1/25/2015,34,24,29,5.4,36,0,0.08,0.6,0
1/26/2015,26,15,20.5,-3.2,44,0,0.07,1,0
1/27/2015,32,20,26,2.2,39,0,T,T,1
1/28/2015,34,19,26.5,2.6,38,0,0.01,0,1
1/29/2015,35,28,31.5,7.5,33,0,0.01,0.1,1
1/30/2015,30,18,24,-0.1,41,0,T,T,1
1/31/2015,36,19,27.5,3.3,37,0,0.12,1.3,0
2/1/2015,31,19,25,0.7,40,0,0.87,16.2,4
2/2/2015,19,6,12.5,-12,52,0,0.05,1.8,18
2/3/2015,26,2,14,-10.7,51,0,0.09,1.6,17
2/4/2015,25,4,14.5,-10.3,50,0,0.02,0.3,16
2/5/2015,15,-2,6.5,-18.5,58,0,0,0,15
2/6/2015,31,13,22,-3.2,43,0,0,0,14
2/7/2015,41,18,29.5,4.1,35,0,0,0,14
2/8/2015,39,25,32,6.3,33,0,0.01,T,9
2/9/2015,27,19,23,-2.9,42,0,T,T,6
2/10/2015,33,14,23.5,-2.7,41,0,0,0,6
2/11/2015,35,18,26.5,0.1,38,0,T,T,6
2/12/2015,18,8,13,-13.7,52,0,T,T,6
2/13/2015,26,5,15.5,-11.5,49,0,T,T,5
